ID,Sent1,Sent2,Score
219,a man wearing a grey jacket standing on the side of a street.,A boy wearing a blue life jacket is holding onto the side of a green boat.,0.6
220,A brown and black dog is jumping to catch a red ball.,A brown and black dog jumps for a red ball.,5.0
222,The tan dog runs through the leaves.,The white dog runs through the ocean.,1.8
223,A white and black dog is jumping into a pool.,A woman in a black apron is standing in front of a mirror.,0.0
224,A black and white dog is carrying a stick in its mouth.,The black and white dog has a stick in his paws.,3.0
225,A deer jumps a fence.,A deer jumping over a fence.,5.0
228,A little girl holds a wooden stick.,A little girl swimming in a pool.,2.2
229,A black dog jumps through the water.,A dog walks through the snow.,2.4
230,A group of people in front of a red fire truck.,A group of people are standing around a red fire truck.,4.2
232,a boy jumps into the blue pool water.,The young boy is jumping into the pool on his belly.,3.4
233,A blonde dog is catching a ball in its mouth in the snow.,A little blonde girl is sitting on a green chair.,0.0
234,Three children and playing and laughing on the floor.,Three children playing on the floor.,3.8
235,A man sits with fishing poles near a body of water.,A man sits on a rock next to a folding deck chair and a fishing pole.,3.4
237,A woman and a dog standing in the grass.,A man carries a sign while standing in the rain.,0.0
240,A man in a blue shirt is running in a stadium field.,A man wearing a blue hat and shirt is riding a white horse.,1.0
242,A woman in a black and orange jacket throws a stick for a brown and black dog to fetch.,The man in a blue jacket is standing in a crowd.,0.0
244,A black dog running through water.,A black dog is running through some water.,4.8
245,Children jumping on a trampoline.,A man is sledding on an orange slide.,0.0
246,A large brown dog is crouching in a grassy field.,A brown dog is running in a field.,3.0
248,A man practicing boxing,A man practices boxing,5.0
252,A dog runs through the grass.,A dog runs through the snow.,2.2
253,The girl with the blue bucket splashes beneath the pier.,The girl in the ski jacket is walking near the buildings.,0.4
254,A skier speeds through the snow.,A brown dog carrying a Frisbee runs through the snow.,0.2
255,Two people are playing golf on a golf course.,Two people are on a golf course playing golf.,5.0
256,A boy and a girl playing on the beach.,A dog playing in the waves with a ball.,0.8
257,A dog running across the snow with a snowball in it's mouth.,A tan dog is running through the grass with a yellow toy in its mouth.,2.4
259,The child in the red coat laid in the red mat.,The toddler is ready to climb the red piece of equipment.,0.8
260,Two dogs play in the grass.,Two dogs are playing in the grass.,5.0
262,A group of people stand in the sand looking out at the water.,A group of people are standing on the beach in front of some boats.,3.2
264,A child in a blue and white team uniform chasing a soccer ball.,A young boy in a blue soccer uniform chasing a ball.,4.0
267,A softball player swinging at a pitch.,A baseball player hitting the ball,2.8
268,A black dog is running after a white dog in the snow.,Black dog chasing brown dog through snow,1.8
271,A man is kite surfing away from the camera.,A man is sky surfing on the water.,2.8
277,A small boy is building with some wooden blocks.,A small boy wearing a blue shirt stacks wooden blocks.,4.0
278,A black dog is running in the grass.,A boy running through green grass.,1.0
279,A little boy and a little girl playing together outside.,A young boy and a young girl walking towards each other,2.0
280,Two people sit on the end of a dock.,Two people sitting on a dock.,4.2
283,Two dogs in a yard.,Two dogs in a stream.,2.0
286,A man chases a dog trying to pass the barrier to enter a play area.,A man follows his black and white dog as it takes on an obstacle course.,2.2
288,The large brown and white dog is running through the snow.,St. Bernard dog running in the snowy field.,4.0
291,A small white dog running across a lawn.,A small white dog running,3.2
294,The white and brown dog is running quickly through the grass.,The big white dog is running in the grass.,3.4
299,A bloody man and woman pose for a picture.,A man in woman dressed warmly pose for a picture.,2.0
301,A man and a woman walk with a white dog on a leash.,"A man, woman and dog walk down a paved road.",4.0
311,A yellow dog is playing in a grassy area near flowers.,A girl is playing on a swing.,0.4
312,a boy plays with a noodle by the pool.,A boy plays with a foam noodle toy by a pool.,4.6
314,two big brown dogs running through the snow.,A brown dog running through the grass.,2.0
315,A young boy jumps into a pool with outstretched arms.,A dog jumps into a backyard pool.,1.2
319,A girl holds up a yellow balloon animal.,A child holds a yellow balloon.,4.0
321,Two dogs share a toy in a field of vegetation.,Two snowboarders are in the air over the snow.,0.17
323,A black dog is running in the grass.,The black dog is running through the grass.,4.8
324,A blond haired lady in white poses for the camera.,A black and white dog runs with its mouth open.,0.0
328,A dog runs through a field chasing a ball.,A child runs through the grass.,0.2
332,Two girls are sitting in front of a statue.,Two blonde girls are sitting next to a statue,3.8
335,A young boy wearing a red winter coat is eating and holding up a candy bar.,A young boy wearing a red coat eats a chocolate bar.,4.0
336,A girl in orange lights a candle.,A girl in an orange shirt lights candles.,4.0
337,A white dog runs through a field of yellow flowers.,A dog with a red collar runs in a forest in the middle of winter.,1.6
339,An infant sitting on a cot reaching over to touch the face of an older boy.,A boy who seems ill is being touched in the face by a toddler.,2.2
342,A dog shaking off water.,A dog shaking water off.,5.0
344,Young boys running along the pavement.,A black dog running along the edge of the ocean.,0.5
345,A young child slides down an orange slide.,A little boy in denim overalls slides down an orange slide.,3.67
346,a black and white dog running through some red and white poles,Black and white dog in living room standing on hind legs.,1.6
349,"Three individuals are posing on skis behind a ""no skiing"" sign.",Three people on skis are standing behind a no skiing sign.,4.4
350,A man in a white suit walks down the street holding a newspaper.,A man in a white suit walks outside carrying a newspaper.,4.6
352,A black and white dog swimming in clear water.,A small black and white dog is swimming in water.,4.2
353,Two racing dogs run in the mud.,The man is going into the water.,0.0
356,"A young boy jumping into a pool that says ""no diving"".",A boy jumps into a pool while lifeguards watch.,3.2
357,A black dog with a blue collar is running in the snow.,A black dog wearing a blue collar is running through the snow.,5.0
359,Black and white dog running through water.,A black and white dog is running through grass.,2.6
362,A dog is running toward the camera.,A brown and white dog running on grass.,0.8
363,Three dogs running in the dirt.,The yellow dog is running on the dirt road.,1.4
364,a boy swinging on a swing.,The girl is on a swing.,2.4
367,A group of youngsters swim in lake water,Many children are playing and swimming in the water.,4.4
368,A blue and white soccer team playing against each other.,A topless woman with her face painted is covered in mud.,0.0
369,two dogs running in the snow,A dog laying in the snow.,2.2
370,A golden dog is running through the snow.,A pack of sled dogs pulling a sled through a town.,1.4
371,A brown dog about to catch a green Frisbee.,A brown dog waits for the Frisbee to come down before catching it.,3.8
372,A skateboarder on a city street.,"A skateboarder in the air at a big, outdoor ramp.",2.6
373,Four children on stools in a diner.,Four children sit on tall bar stools at a yellow and grey bar.,3.6
374,Boy and white dog running in grassy field,A boy and a dog running on grass,4.4
378,A black and white dog is swimming in a large green lake.,A black dog runs fast into shallow water.,2.2
379,Two large black dogs are playing in a grassy field.,Two white dogs are running together.,2.2
380,Two boys playing a game of flag football.,Two boys are playing flag football.,5.0
381,The brown and black dog sprints across the snow.,A black dog is running quickly along the ground.,2.8
383,The man in the backpack looks to his left.,An adult male wearing a backpack walks and looks to the left.,3.8
384,An elderly man in a blue shirt is holding up a piece of canvas art.,A black man is walking next to a building in a big city.,0.0
386,Two skinny young boys playing with sand in the water.,Two dogs are shaking water off.,0.4
387,The black and white dog has its mouth wide open.,A black and white dog jumps in the snow.,1.8
388,A small dog runs through an obstacle course.,A small dog jumping over an obstacle.,3.8
390,A girl bounces in a bounce house.,A girl dances like a man in costume,1.2
392,A brown dog running through the woods.,A brown dog runs through the grass.,3.2
393,A group of people are standing by a window watching something.,A group of people stand and wait to see something.,3.4
395,A dog is jumping over a barrier at a agility competition.,A dog jumping over an obstacle course fence.,4.4
396,Three people racing on ice skates.,Three ice skaters round a corner.,3.2
398,One white boy and one black boy stand with arms around each other.,"Two young boys, one white and one black, are standing with their arms around each other.",4.8
399,Two women contestants are walking their dogs in a dog show.,Two women walk there dogs at a dog show.,4.8
401,Two men on the side of a barge,A man is lying the grass with long hair and beard.,0.0
402,A brown and white dog is catching a tennis ball while standing on its hind legs.,the brown and white dog is carrying a stick in his mouth.,1.8
403,A brown dog in running on grass.,A brown dog runs through the grass.,4.8
407,a wet black dog with a red collar is in the river,A black dog with a red collar wading through the water.,4.0
410,A person is riding their bike on a trail next to the woods.,A small child in a yellow shirt is holding their arms out to the sides.,0.4
413,A woman in a black dress smiles in front of a silver truck.,A girl wearing a black top is smiling with a silver truck in the background.,3.6
415,Girl playing in a puddle with her bare feet.,A child is playing with two white and black geese.,0.6
416,Two people are walking by the ocean.,Two men in fleeces and hats looking at the camera.,0.4
419,Two little girls in pink are dancing.,Two ladies jogging on a path near the waterfront.,0.0
422,Two children splashing in the water.,Two dolphins jumping into the water.,1.4
423,A dog is on the beach near a ball.,A guy is going up for a lay-up on a basketball court.,0.6
428,A dog bounds across the brown grass.,Two dogs bound across the grass.,2.6
430,a woman playing with two young boys at a park,A woman and three kids play at a park.,3.2
431,A dog emerges form the water with a stick in its mouth.,A dog runs toward the camera with a stick in its mouth.,2.4
434,Three dogs playing in the snow.,The boy is playing in the sand.,0.8
435,A woman in jeans plays a video game in front of a large screen.,A man and a woman are posing for a photograph in front of a yellow flower-bed.,0.4
438,Two people walking along the shore at sunset.,Two people walking along the beach at sunset towarn a group of people.,3.0
440,A man in a suit dances with a young girl in front of an audience.,A women dangles from a blue fabric connected to a tree.,0.2
442,Three children playing on a floor with toys.,Three children sitting in floor playing with several toys.,4.2
444,A dog carries a leash in its mouth.,A fluffy dog carries a black leash in its mouth.,4.2
447,A man in jeans is playing with a ball while a woman in jeans stands nearby looking away.,A man is tying a red arm band around another mans arm in the street.,0.0
448,A black dog is running through the snow.,The black and brown dog is running through the snow.,4.0
449,A woman in a pink bikini is laying on a deck lounge chair that is covered with a pink towel.,A woman in a white shirt and black skirt on a tennis court.,1.4
450,A skier is falling into the snow.,A skier is falling face first into the snow.,4.0
451,A dog with a red toy in it's mouth.,A brown dog is carrying a stick in its mouth.,2.2
452,Two hockey players fighting on the ice.,Two hockey players in a struggle on the ice.,4.8
453,Three people stand in an outdoor glass structure.,A girl stands high on an obstacle course platform.,0.4
454,Two terriers play on the wood floor of their home.,Two puppies play with a red chew toy in a field.,1.6
456,A group of people are at a convention waving American flags.,A crowd of people at an outdoor event,2.4
457,Two dogs running through a field.,Two dogs play in a field.,4.2
458,A man in a gray suit locking up a bicycle,A man and a woman standing on a city street.,0.4
459,The two dogs are playing in the yard.,Two dogs are playing on the grass.,4.6
465,A boy skateboards down the railing of some graffiti stairs,A skateboarder is jumping over an obstacle in front of a white house.,2.8
466,A white dog is running through the water at a beach,A white dog is running through the water onto the shore.,4.6
467,A man in a black leather jacket is sleeping in a subway car.,A man in a black leather jacket falls asleep on public transportation.,4.6
469,A dog leaping over a hurdle.,A dog leaps over the hurdle.,4.8
470,Two men are setting up some electronic equpitment,Two dogs are wrestling on the ground in the snow.,0.0
471,A black dog is walking on the grass with a stick in it's mouth.,A boy holds a net with a snake in it close to the ground.,0.0
472,A man and woman blow bubbles.,A man and a woman in glasses blow bubbles.,4.2
473,A girl runs with dogs in a dry field.,A grey dog and a tan dog playing on a grassy field.,2.2
474,Two dogs playing in the snow.,Two black dogs in the snow.,4.0
477,a skateboard performs a trick off a quarter pipe.,A skateboarder attempts to do a trick over a homemade ramp.,3.2
481,A dog leaps off a dock and into the water.,The black dog leaps off the dock and into the water.,4.0
482,a group of old men walking down the street,A couple walking down the street.,2.0
484,Three dogs standing in snow next to a blue fence.,Three dogs play in the shallows next to a rocky shore.,2.2
487,A black and white dog is running through the field.,A black and white dog is running in the grass.,4.8
488,A boy in black waves his arms while other people are behind him on a field.,a man in a black shirt is roller blading past a bench in the city.,0.4
489,An elderly woman rides a bicycle along a city street.,An elderly woman walking uphill crossing the street.,2.0
492,A young boy is punching a yellow ball.,A small dog jumps over a yellow beam.,0.4
496,A group of young ballerinas are in a dance studio.,A group of young ladies in bikinis.,1.4
498,A young boy in a white dress shirt is playing on a grassy plain.,A woman is getting her hair done at a salon.,0.0
500,A woman and a man are amused by headphones.,A man and a woman resting after exercise.,1.2
501,Two girls walking in the ocean.,two girls walking in the street,1.8
503,The # 2 greyhound dog is running around a track.,a muzzled greyhound dog is running around a track,4.0
504,A man and a dog are playing tug of war.,A man dances on a colorful wall.,0.4
505,A wet child shivers under a towel at a pool.,A wet child is shivering in a towel in front of a pool.,4.6
507,A white dog runs on a beach.,The white dog is running along the beach.,5.0
508,Six dogs running on the sandy beach.,Six dogs walking beside the beach.,3.4
509,A man holds on to a handle in the water.,A man is holding onto handles in the air.,3.2
510,four children are playing on a trampoline.,Four kids are jumping on a trampoline.,4.6
511,A white dog walking in the snow.,A black and tan dog walking through the snow.,3.0
513,The white and brown dog runs across the grass.,Three dogs are running on the grass.,3.2
516,A boy goes down an inflatable slide.,A boy in red slides down an inflatable ride.,3.8
517,Two dogs playing with a ball in a puddle.,"Two dogs stand in a puddle, and one has a yellow tennis ball.",3.8
518,Three dogs are playing in the water.,Three dogs run in the snow.,1.4
519,Two dogs playing in the snow.,Two kids playing with a dog.,1.2
522,A girl does a back bend on the beach.,A girl doing a back bend at the beach.,4.8
524,Boat sails in rough water.,A man is kayaking in rough waters.,2.6
526,The two dogs are playing fetch in the snow.,Two dogs are playing together in the grass.,2.2
527,A black and tan dog standing in a field near trees,A white dog is standing by a river shaking himself dry.,1.8
528,Two surfers on riding a small wave.,Two surfers perform tricks in the waves.,3.6
530,Two people walking on the beach at sunset.,Two people walking along the shore at sunset.,5.0
532,Three dogs are playing in the white snow.,Two dogs are playing in the grass.,1.6
537,two puppies playing around in the grass,Two dogs are wrestling in the grass.,4.0
538,A young girl is sitting on Santa's lap.,A little girl is sitting on Santa's lap,4.8
541,A black and white dog runs with its mouth open.,A black and white dog swims in blue water.,2.2
542,A black dog running into the water.,A black dog running through water.,4.6
543,A young boy jumping in the air at the beach.,A boy jumping in the air on the beach.,4.8
547,Five men in tuxedos are walking down steps.,Five men in tuxedos walk down a set of steps,5.0
549,Man in red shorts and white shirt kicking a soccer ball.,A black dog stands in the surf holding a red rubber ball.,0.0
552,A man and dog on a rocky seashore.,Man and dog standing on rocks next to water,4.8
553,Brown dog splashing into the water.,Four dogs splashing in the water,2.4
556,The smiling woman at the beach is buried in seaweed.,A girl in a cowboy hat with a sheep on a leash.,1.0
561,A dog with big ears is holding a small stick in it's mouth.,A puppy with big ears chewing on a stick.,3.8
562,The large brown dog is jumping through the tall grass.,The girl wearing a blue shirt is running through a science center.,0.0
563,Two dogs fighting in the snow.,Two dogs playing in the snow.,2.6
566,A brown dog is in the middle of a line of dogs chasing a dirty tennis ball over dirt.,There are two white dogs and one brown dog chasing a ball.,2.8
569,A grey hound is active in a grassy field.,A bunch of bikes racing on a track.,0.0
572,Two people are racing a sidecar motorcycle in the mud.,The dog carrying a long stick in its mouth.,0.0
573,A man in red swim trunks playing volleyball.,A man and woman sitting on a motorcycle.,0.0
574,a man and woman walking past a record shop,A man and woman kissing in front of a crowd of people.,0.2
575,The man is sitting at the top of a rocky mountain.,A person sticks their head out of a tent at the top of a mountain.,2.4
576,Two people in snowsuits laying in the snow making snow angels,Two children lying in the snow making snow angels,3.8
577,A little blonde girl is standing in front of a water fountain.,A young girl standing in front of a fountain,4.0
580,A man standing on a boat is pulling another boat close by with a bamboo stick.,a man in a black hat standing in front of a brick wall and a sign,0.0
581,a man plays his white guitar.,a man playing a white guitar and singing as well,3.2
582,A person is skijoring with a dog in the mountains.,A brown dog is playing with a ball in the water.,0.0
585,Two shirtless young people playing in the water.,Lots of people play in the water at the beach.,2.4
588,Close-up of a hummingbird.,A closeup of a hummingbird flying.,3.6
589,Two dogs play in the grass.,Two tan dogs play in the snow.,2.6
591,Woman in a black dress walking on the street.,A woman watches a dog jump down the stairs.,0.8
592,Three children wrestle on a floral carpet.,Three children playing on the floor.,3.8
593,A boy in red jumping into a sandbox.,A dog swimming in a pond,0.0
597,A man and a woman looking at the camera.,A man and a woman laughing.,2.33
598,a dog jumps into the water.,A dog is jumping into the water.,5.0
599,a brown dog running through the dirty muddy grass,The large brown dog is running outside in the dirt.,3.6
601,Three dogs pulling a man on a bicycle through the snow.,"The dogs are pulling a man on a type of bike, through the snow.",5.0
602,A boy riding on a swing.,A young boy riding in a swing.,4.8
607,A black dog running through the snow.,A black dog runs through the water.,2.4
610,A baby in a red hat sitting in a stroller is holding a doll.,A man in a gray shirt sitting in a field of flowers.,0.0
613,"Three children playing with hay outdoors, throwing some at camera lens.","Three young children play in the hay, throwing some at the camera.",4.8
614,A black dog walking beside a pool.,A black dog is walking along the side of a pool.,5.0
624,A climber is standing on the rock face next to the pink rope.,The children are running in the snow with fences in the background.,0.0
627,The man is wearing a black shirt and hat and smiling.,A man is lifting a little girl above his head.,0.0
628,A black dog wearing an orange collar is entangled with fishing wire.,The black dog wearing a red collar shakes water off.,1.8
629,"A wet, blond dog carries a stick on the shore.","The wet, brown dog has a stick in his mouth and is running in the sand next to the water.",3.6
632,A man and a woman are riding bikes on a street.,A man and woman are riding bicycles across a junction in the city.,3.6
634,A man and a dog on rocks on a beach.,A man and dog on a rocky seashore.,4.6
637,Two dogs are playing around in the dirt.,A dancer posing for the camera in a red and white dress.,0.0
639,Large group of people standing outside of a building.,A group of people are ice skating in a big city.,2.0
640,A golden dog is running on the grass.,The large beige dog is running through the grass.,3.4
642,A dog runs through the grass.,a dog runs across the grass.,4.8
645,a man in red shorts is walking along rocks by a river carrying a stick.,A man is walking on rocks with water flowing around them.,3.4
646,Man rowing a boat.,a man doing a trick on skateboard,0.0
647,Three dogs running on a racetrack.,Three dogs round a bend at a racetrack.,4.8
653,A black and brown dog walks through the snow near a building.,An older man stands outside a old boarded up building.,0.8
656,A dog is jumping into a swimming pool after a duck.,A dog jumping into a swimming pool.,3.4
661,A dog running through a forest in the winter time,A dog running through a lot of twigs.,3.2
665,The girl is playing along with the images on the big screen.,Three girls holding umbrellas with their backs to the camera.,0.4
666,Many people run in a race on a street.,A puppy running along a street.,1.0
667,Two dogs in the snow,Two dogs play in the grass.,2.4
668,A man in swimming trunks is standing against some rocks.,A man in a gray shirt climbs a large rock wall.,1.0
669,Two white dogs walking in the snow.,A tan dog with a black collar barking in the snow.,2.0
671,A woman wearing a pink shirt jumps in the air with her arms and legs spread to her sides.,A man wearing suspenders and sunglasses leaps up in the air with his arms and legs spread out to the side.,2.4
672,A dog runs through the grass.,Two dogs run through the brush.,2.8
673,Three dogs playing in the snow.,Three dogs run in the snow.,4.2
674,A dog running across the sand,A dog running through the water.,2.8
676,The boy in the orange shirt is throwing the ball.,The black and white muzzled dog is leaping above the grass.,0.2
680,A woman is attempting to ride a small wave.,A man and woman sitting back to back outside in the sun.,0.0
681,The black and white dog is swimming in the river.,A black man and his dog on the beach.,0.6
683,Man standing on top of jagged rocks near the ocean.,A man is standing on top of rocks overlooking the ocean.,4.6
684,A girl in a black and blue wet suit is surfing.,A woman wearing a black and blue striped suit is surfing on a wave.,4.4
687,The woman is leading a dog through an obstacle course.,Woman leading her small dog through an obstacle course.,4.6
688,Several people are sitting around a fire at night.,A group of people sit around a blazing fire at night.,4.2
691,Two dogs are running in the field.,Two dogs running in a field.,5.0
693,Two people are in bed.,Two boxers are in the ring.,0.0
694,Two dogs on the beach.,A dog walks on the beach.,2.4
695,A young boy is standing on a gray tiled area.,A young boy is practicing his karate in a gym.,1.0
698,Two dogs fighting in the snow.,Two dogs play in the snow.,3.2
700,A group of people are in the water.,A group of people ride in a race,0.6
701,The dog is running with food in his mouth.,The dog is running with a yellow ball in his mouth.,2.2
704,Two dogs running down a beach.,two dogs running on the beach,4.8
705,A black and white dog swimming in the pool,A black and white dog running with something in his mouth.,2.0
706,Two dogs are sniffing something in the rocks.,Two dogs running down a path in the woods.,1.6
