ID,Sent1,Sent2,Score,Dataset,Domain
32,"Surround completely; close in, as if with a covering or border.",surround completely.,3.5,STS2012-gold,surprise.OnWN
33,"the act or event of ending a process, state, situation",the end of a word (a suffix or inflectional ending or final morpheme).,1.25,STS2012-gold,surprise.OnWN
34,the price of a good or service,an assertion that someone is guilty of a fault or offence.,0.0,STS2012-gold,surprise.OnWN
35,"depict or portray in art, words, or model",create an image or likeness of.,2.0,STS2012-gold,surprise.OnWN
36,travel in or be shaped like a zigzag,bend into the shape of a crank.,0.75,STS2012-gold,surprise.OnWN
37,"Annoy, harass, or mock, perhaps playfully.",mock or make fun of playfully.,4.25,STS2012-gold,surprise.OnWN
38,(Cause to) smell bad.,be extremely bad in quality or in one's performance.,0.0,STS2012-gold,surprise.OnWN
39,social ranking or position,the relative position or standing of things or especially persons in a society.,4.0,STS2012-gold,surprise.OnWN
40,"ponder, consider, observe carefully",consider in detail and subject to an analysis in order to discover essential features or meaning.,3.25,STS2012-gold,surprise.OnWN
41,persuade or achieve acceptance,persuade somebody to accept something.,4.333,STS2012-gold,surprise.OnWN
42,physical matter left behind after a removal process,matter that remains after something has been removed.,5.0,STS2012-gold,surprise.OnWN
43,"any tall, vertical shape",anything that approximates the shape of a column or tower.,3.5,STS2012-gold,surprise.OnWN
44,physically inflate,become inflated.,4.75,STS2012-gold,surprise.OnWN
45,"heavy radioactive metallic element, atomic number 92",a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons.,3.0,STS2012-gold,surprise.OnWN
46,Complain about something or say mean things to someone.,say mean things.,3.0,STS2012-gold,surprise.OnWN
47,"care about, be bothered by, be concerned by","be offended or bothered by; take offense with, be bothered by.",3.75,STS2012-gold,surprise.OnWN
48,"the tallied points of a game, at a given time",a number that expresses the accomplishment of a team or an individual in a game or contest.,2.75,STS2012-gold,surprise.OnWN
49,edit so as to block the truth; prevent distribution,"subject to political, religious, or moral censorship.",2.25,STS2012-gold,surprise.OnWN
50,"a casual, brief meeting with someone",a casual or unexpected convergence.,2.5,STS2012-gold,surprise.OnWN
51,an electrical connection between conductor and earth,"a connection between an electrical device and a large conducting body, such as the earth (which is taken to be at zero voltage).",4.25,STS2012-gold,surprise.OnWN
52,an agent's act of terminating an activity or event,the act of ending something.,4.0,STS2012-gold,surprise.OnWN
53,notable or famous persons (real or fictional),a well-known or notable person.,4.5,STS2012-gold,surprise.OnWN
54,a person who manipulate or controls a device or machine,an agent that operates some apparatus or machine.,3.75,STS2012-gold,surprise.OnWN
55,"find, determine the place of","determine or indicate the place, site, or limits of, as if by an instrument or by a survey.",3.25,STS2012-gold,surprise.OnWN
56,to engage in plotting or activities of an illegal or deceitful nature,act in unison or agreement and in secret towards a deceitful or illegal purpose.,4.25,STS2012-gold,surprise.OnWN
57,"be equivalent, have the same effect as something",be tantamount or equivalent to.,3.75,STS2012-gold,surprise.OnWN
58,(cause to) survive,cause to move by pulling.,1.0,STS2012-gold,surprise.OnWN
59,the money,a voluntary gift (as of money or service or ideas) made to some worthwhile cause.,1.0,STS2012-gold,surprise.OnWN
60,a sudden emotional vocalization,a loud utterance of emotion (especially when inarticulate).,3.75,STS2012-gold,surprise.OnWN
61,"go back, restore, revive",go back to a previous state.,4.0,STS2012-gold,surprise.OnWN
62,settlement of people distant from their homeland,a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government.,2.75,STS2012-gold,surprise.OnWN
63,(The discovery or exhibition of) factual evidence that establishes the truth of something.,a formal series of statements showing that if one thing is true something else necessarily follows from it.,3.75,STS2012-gold,surprise.OnWN
64,"enter a realm, become involved with",cause to move; cause to be in a certain position or condition.,1.5,STS2012-gold,surprise.OnWN
65,a project or undertaking,earnest and conscientious activity intended to do or accomplish something.,3.25,STS2012-gold,surprise.OnWN
66,a standardized system of measurements for heaviness,a system of units used to express the weight of something.,4.0,STS2012-gold,surprise.OnWN
67,a concern or affair,some situation or event that is thought about.,4.5,STS2012-gold,surprise.OnWN
68,have a strong sexual attraction to,feel or have a desire for; want strongly.,2.0,STS2012-gold,surprise.OnWN
69,"a surrogate expression, utterance for a taboo word",a blank character used to separate successive words in writing or printing.,1.5,STS2012-gold,surprise.OnWN
70,"facility for secure storage of things, often money",a facility where things can be deposited for storage or safekeeping.,4.0,STS2012-gold,surprise.OnWN
71,emit or cause to emit noise,make a certain noise or sound.,3.75,STS2012-gold,surprise.OnWN
72,"make physical contact with, possibly with the effect of physically manipulating.",cause to be in brief contact with.,2.333,STS2012-gold,surprise.OnWN
73,"find out or be informed of a new information, understand or realize","get to know or become aware of, usually accidentally.",2.5,STS2012-gold,surprise.OnWN
74,head of a country,the chief executive of a republic.,4.5,STS2012-gold,surprise.OnWN
75,Touch with the lips.,"touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc..",3.0,STS2012-gold,surprise.OnWN
76,a natural physical force of drawing towards something,the force used in pulling.,2.75,STS2012-gold,surprise.OnWN
77,a change which is a decrease,a gradual decrease; as of stored charge or current.,3.0,STS2012-gold,surprise.OnWN
78,"an evaluation, an estimation of worth, a grade",a number or letter indicating quality (especially of a student's performance).,3.0,STS2012-gold,surprise.OnWN
79,having responsibility for managing or supervising,an impetuous rush toward someone or something.,1.75,STS2012-gold,surprise.OnWN
80,fail or suffer failure,"suffer failure, as in some enterprise.",4.0,STS2012-gold,surprise.OnWN
81,an abundance of something,the property of copious abundance.,4.0,STS2012-gold,surprise.OnWN
82,An authoritative text or the corresponding citation.,a short note recognizing a source of information or of a quoted passage.,3.75,STS2012-gold,surprise.OnWN
83,An instance of visual perception.,(often followed by `of') a large number or amount or extent.,0.5,STS2012-gold,surprise.OnWN
84,"fluctuate, move back and forth",sway to and fro.,2.5,STS2012-gold,surprise.OnWN
85,the alleviation of distress,a change for the better.,1.5,STS2012-gold,surprise.OnWN
86,A ceremony marking admission into a religious community.,a sacrament admitting a baptized person to full participation in the church.,2.8,STS2012-gold,surprise.OnWN
87,a social gesture of deferential greeting,a courteous expression (by word or deed) of esteem or regard.,3.4,STS2012-gold,surprise.OnWN
88,"move to a new location, state, or situation",cause (a computer) to execute a single command.,0.0,STS2012-gold,surprise.OnWN
89,Change one for another,"give to, and receive from, one another.",1.6,STS2012-gold,surprise.OnWN
90,"a full stop, as a punctuation mark",a punctuation mark (.) placed at the end of a declarative sentence to indicate a full stop or after abbreviations.,4.0,STS2012-gold,surprise.OnWN
91,something that is craved,"something craved, especially an intravenous injection of a narcotic drug.",3.25,STS2012-gold,surprise.OnWN
92,to grow rapidly,increase rapidly and in an uncontrolled manner.,3.5,STS2012-gold,surprise.OnWN
93,"Speak in a high-pitched tone of voice, as either an animal or human might.",make high-pitched sounds.,3.5,STS2012-gold,surprise.OnWN
94,domesticated animals kept for use or profit,a special variety of domesticated animals within a species.,2.5,STS2012-gold,surprise.OnWN
95,"a discipline, a branch of knowledge",the discipline that records and interprets past events involving human beings.,2.25,STS2012-gold,surprise.OnWN
96,"a person who is aggressively pursued, chased",a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence.,3.333,STS2012-gold,surprise.OnWN
97,personnel casualty,military personnel lost by death or capture.,2.25,STS2012-gold,surprise.OnWN
98,escape or avoid a situation or responsibility,use cunning or deceit to escape or avoid.,3.25,STS2012-gold,surprise.OnWN
99,"a relative loss in price, value",a loss entailed by giving up or selling something at less than its value.,4.0,STS2012-gold,surprise.OnWN
100,a measurable or quantitative decrease,a sudden sharp decrease in some quantity.,3.75,STS2012-gold,surprise.OnWN
101,"Change the key, pitch, tone, or volume of, likely for aesthetic reasons.","change the key of, in music.",3.5,STS2012-gold,surprise.OnWN
102,a written message of nonacceptance,a message refusing to accept something that is offered.,5.0,STS2012-gold,surprise.OnWN
103,(cause to) stop speaking or bring about silence,move so that an opening or passage is obstructed; make shut.,0.5,STS2012-gold,surprise.OnWN
104,"injure, scratch the surface",cut the surface of; wear away the surface of.,3.5,STS2012-gold,surprise.OnWN
105,A plant structure near the top of the plant.,a fruiting structure resembling an umbrella or a cone that forms the top of a stalked fleshy fungus such as a mushroom.,2.0,STS2012-gold,surprise.OnWN
106,a written list of particular things being offered,a list of particulars (as a playbill or bill of fare).,2.5,STS2012-gold,surprise.OnWN
107,"a notational mark used in writing, diacritic",a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation.,3.5,STS2012-gold,surprise.OnWN
108,"the state of believing in, or having confidence in, something or someone",the trait of believing in the honesty and reliability of others.,3.25,STS2012-gold,surprise.OnWN
109,an attempt or effort to achieve a goal,an attempt to get something.,4.5,STS2012-gold,surprise.OnWN
110,"increase in amount, extent, or intensity",go up or advance.,2.75,STS2012-gold,surprise.OnWN
111,"clean, wash thoroughly",clean with hard rubbing.,3.25,STS2012-gold,surprise.OnWN
112,compress out of shape or into small pieces,"become injured, broken, or distorted by pressure.",2.0,STS2012-gold,surprise.OnWN
113,"point or direct object, weapon, or blow at something or someone","point or cause to go (blows, weapons, or objects such as photographic equipment) towards.",4.0,STS2012-gold,surprise.OnWN
114,"employ or utilize, put into service",give or convey physically.,0.75,STS2012-gold,surprise.OnWN
115,"Spin, wind, braid, or twist together, perhaps as when performing lacework.",do lacework.,2.5,STS2012-gold,surprise.OnWN
116,"a decorative container, often for holding flowers",an open jar of glass or porcelain used as an ornament or to hold flowers.,4.25,STS2012-gold,surprise.OnWN
117,"preserve, keep in safety, use frugally",preserve with sugar.,2.0,STS2012-gold,surprise.OnWN
118,an open motorboat used for transport,a motorboat with an open deck or a half deck.,2.25,STS2012-gold,surprise.OnWN
119,"a process of development, increase or advancement",a process of becoming larger or longer or more numerous or more important.,2.75,STS2012-gold,surprise.OnWN
120,Make sure of.,be careful or certain to do something; make certain of something.,3.5,STS2012-gold,surprise.OnWN
121,supply or furnish with something needed or wanted,give something useful or necessary to.,2.25,STS2012-gold,surprise.OnWN
122,a sharp bladed instrument for shaving off hair,edge tool used in shaving.,4.0,STS2012-gold,surprise.OnWN
123,"learn, assimilate a body of knowledge",learn by reading books.,2.0,STS2012-gold,surprise.OnWN
124,support; hold up; nurture or provide for,lengthen or extend in duration or space.,0.75,STS2012-gold,surprise.OnWN
125,"keep away, prevent from happening, or not do something",refrain from doing something.,4.0,STS2012-gold,surprise.OnWN
126,Something that provides advice.,something that provides direction or advice as to a decision or course of action.,3.5,STS2012-gold,surprise.OnWN
127,The act of copying the actions of someone else.,a representation of a person that is exaggerated for comic effect.,2.0,STS2012-gold,surprise.OnWN
128,a physical entity,a separate and self-contained entity.,2.5,STS2012-gold,surprise.OnWN
129,"lessen in force, impact, or effect",make less severe or harsh.,2.5,STS2012-gold,surprise.OnWN
130,a judgement or opinion about something,a judgment of the qualities of something or somebody.,4.0,STS2012-gold,surprise.OnWN
131,flog or whip,beat severely with a whip or rod.,2.75,STS2012-gold,surprise.OnWN
132,"act, form, or progress according to a plan or ideal",shape or influence; give direction to.,2.25,STS2012-gold,surprise.OnWN
133,"Germinate, as in a plant.","produce buds, branches, or germinate.",3.5,STS2012-gold,surprise.OnWN
134,"social sphere, scope of activity or interest",a particular environment or walk of life.,1.0,STS2012-gold,surprise.OnWN
135,"a static vertical layout, e.g. text or numbers",a vertical array of numbers or other information.,4.5,STS2012-gold,surprise.OnWN
136,"recognize, be familar or well-versed with",be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about.,2.5,STS2012-gold,surprise.OnWN
137,"a portrayal of someone or something, through words or behavior","any likeness of a person, in any medium.",2.5,STS2012-gold,surprise.OnWN
138,"a device to control the rate of some activity, e.g., chemical or mechanical","any of various controls or devices for regulating or controlling fluid flow, pressure, temperature, etc..",2.75,STS2012-gold,surprise.OnWN
139,Form an aesthetic or conceptual whole.,"cause to form a united, orderly, and aesthetically consistent whole.",3.75,STS2012-gold,surprise.OnWN
140,"human legs, informal usage",informal terms for the leg.,4.0,STS2012-gold,surprise.OnWN
141,goal or objective,the goal intended to be attained (and which is believed to be attainable).,3.75,STS2012-gold,surprise.OnWN
142,"protect from heat, cold, or other detrimental conditions",place or set apart.,1.75,STS2012-gold,surprise.OnWN
143,an allotment or percentage of something,assets belonging to or due to or contributed by an individual person or group.,0.75,STS2012-gold,surprise.OnWN
144,something that attains victory,an event that accomplishes its intended purpose.,2.75,STS2012-gold,surprise.OnWN
145,line up or make parallel; bring into proper adjustment,place in a line or arrange so as to be parallel or straight.,4.5,STS2012-gold,surprise.OnWN
146,a home furnishing that is a fabric cover,bedclothes consisting of a lightweight cloth covering (an afghan or bedspread) that is casually thrown over something.,3.75,STS2012-gold,surprise.OnWN
147,meshed frame over windows and doors,a protective covering consisting of netting; can be mounted in a frame.,3.5,STS2012-gold,surprise.OnWN
148,a measure of the likelihood or probability of an event,a measure of how likely it is that some event will occur; a number expressing the ratio of favorable cases to the whole number of cases possible.,3.75,STS2012-gold,surprise.OnWN
149,Anyone who judges or finds fault with something.,someone who frequently finds fault or makes harsh and unfair judgments.,4.0,STS2012-gold,surprise.OnWN
150,"the rescue or release of someone, something",recovery or preservation from loss or danger.,2.2,STS2012-gold,surprise.OnWN
151,"observe, perceive",observe with care or pay close attention to.,3.2,STS2012-gold,surprise.OnWN
152,"limit, keep under control, deter, forbid",to compel or deter by or as if by threats.,2.8,STS2012-gold,surprise.OnWN
153,"stick out, jut out, protrude",extend out or project in space.,2.8,STS2012-gold,surprise.OnWN
154,to act as the host of,be the host of or for.,4.5,STS2012-gold,surprise.OnWN
155,"put an end to, make invalid a process that's already begun",make invalid for use.,2.0,STS2012-gold,surprise.OnWN
156,"enjoy, be fond of or approve","feel about or towards; consider, evaluate, or regard.",1.0,STS2012-gold,surprise.OnWN
157,per centum,a proportion in relation to a whole (which is usually the amount per hundred).,2.75,STS2012-gold,surprise.OnWN
158,an approximate attribute or quality of something,an approximate definition or example.,3.75,STS2012-gold,surprise.OnWN
159,The act of having and controlling property.,the state or fact of being an owner.,4.25,STS2012-gold,surprise.OnWN
160,"a physical protuberance, large or small",a natural elevation (especially a rocky one that juts out into the sea).,2.25,STS2012-gold,surprise.OnWN
161,estimate or calculate the numerical value of something,"evaluate or estimate the nature, quality, ability, extent, or significance of.",3.5,STS2012-gold,surprise.OnWN
162,a portion or percentage of a whole,the part played by a person in bringing about a result.,0.5,STS2012-gold,surprise.OnWN
163,"lightest most abundant element, atomic number 1",a nonmetallic univalent element that is normally a colorless and odorless highly flammable diatomic gas; the simplest and lightest and most abundant element in the universe.,3.25,STS2012-gold,surprise.OnWN
164,a unit cost of something,a single chance or instance.,0.0,STS2012-gold,surprise.OnWN
165,move back and forth,move or sway in a rising and falling or wavelike pattern.,2.0,STS2012-gold,surprise.OnWN
166,a cyclical span of time defined by a calendar system,a period of time containing 365 (or 366) days.,2.25,STS2012-gold,surprise.OnWN
167,face an event and survive; endure,face and withstand with courage.,2.25,STS2012-gold,surprise.OnWN
168,(medicine) the capacity of an organism to defend against disease.,(medicine) the condition in which an organism can resist disease.,4.0,STS2012-gold,surprise.OnWN
169,"a statement, an idea expressed in language",a brief statement.,3.0,STS2012-gold,surprise.OnWN
170,perform a duty,do duty or hold offices; serve in a specific function.,3.5,STS2012-gold,surprise.OnWN
171,soldier who is a member of a special forces group,a member of a military unit trained as shock troops for hit-and-run raids.,3.25,STS2012-gold,surprise.OnWN
172,"become master of, overcome, dominate",get on top of; deal with successfully.,4.0,STS2012-gold,surprise.OnWN
173,"area of damaged, cut tissue on a living body",a casualty to military personnel resulting from combat.,0.5,STS2012-gold,surprise.OnWN
174,revolve,change directions as if revolving on a pivot.,1.75,STS2012-gold,surprise.OnWN
175,twice the quantity or amount of something,a quantity that is twice as great as another.,4.0,STS2012-gold,surprise.OnWN
176,"Give an incentive for action, provoke or stir up, urge on, or cause to act.",provoke or stir up.,3.25,STS2012-gold,surprise.OnWN
177,Funeral direction,the trade of a funeral director.,3.0,STS2012-gold,surprise.OnWN
178,to ignite or catch on fire,catch fire.,4.25,STS2012-gold,surprise.OnWN
179,a large approximate quantity of some attribute or thing,a concentrated example of something.,2.75,STS2012-gold,surprise.OnWN
180,Medicines,a substance that is used as a medicine or narcotic.,3.0,STS2012-gold,surprise.OnWN
181,a method for solving a problem,the successful action of solving a problem.,3.75,STS2012-gold,surprise.OnWN
182,"reach an objective, attain a benchmark or goal",develop in a positive way.,2.0,STS2012-gold,surprise.OnWN
183,take something or someone away from somewhere,go away or leave.,1.6,STS2012-gold,surprise.OnWN
184,a stiffener in a garment,(nautical) brace consisting of a heavy rope or wire cable used as a support for a mast or spar.,1.0,STS2012-gold,surprise.OnWN
185,a constructed underground passageway,"a passageway through or under something, usually underground (especially one for trains or cars).",3.8,STS2012-gold,surprise.OnWN
186,"discern, identify, or know because of a previous experience",be fully aware or cognizant of.,2.25,STS2012-gold,surprise.OnWN
187,move or change one's own position or quality,move very slightly.,3.0,STS2012-gold,surprise.OnWN
188,incorporate or enclose one thing in another,incorporate a food ingredient into a mixture by repeatedly turning it over without stirring or beating.,1.75,STS2012-gold,surprise.OnWN
189,"guide, draw through","pass over, across, or through.",1.75,STS2012-gold,surprise.OnWN
190,"rescue, redeem, deliver from harm or danger",refrain from harming.,3.4,STS2012-gold,surprise.OnWN
191,beat (as if) with a whip or rod,strike as if by whipping.,4.0,STS2012-gold,surprise.OnWN
192,the medical procedure of manually turning the uterus,manual turning of a fetus in the uterus (usually to aid delivery).,4.4,STS2012-gold,surprise.OnWN
193,create an edge or border,enclose in or as if in a frame.,2.6,STS2012-gold,surprise.OnWN
194,restart or continue an activity after an interruption or pause,take up or begin anew.,2.25,STS2012-gold,surprise.OnWN
195,"capture, ensnare, discover in the act","discover or come upon accidentally, suddenly, or unexpectedly; catch somebody doing something or in a certain state.",2.75,STS2012-gold,surprise.OnWN
196,"initiation, founding, introduction of something",the act of starting something for the first time; introducing something new.,3.25,STS2012-gold,surprise.OnWN
197,a creased or bent form,an angular or rounded shape made by folding.,2.75,STS2012-gold,surprise.OnWN
198,"train, tutor or polish social behavior, taste, judgement",teach or refine to be discriminative in taste or judgment.,4.5,STS2012-gold,surprise.OnWN
199,a mental activity of construing or interpreting,an interpretation of a text or action.,3.25,STS2012-gold,surprise.OnWN
200,emphasize; draw attention to; underline,draw a line or lines underneath to call attention to.,4.25,STS2012-gold,surprise.OnWN
201,possibility for the future,a prediction of the course of a disease.,2.0,STS2012-gold,surprise.OnWN
202,require or need something that is missing,have need of.,3.25,STS2012-gold,surprise.OnWN
203,"an indication or manifestation of something, often physical",an indication of damage.,2.75,STS2012-gold,surprise.OnWN
204,"a sudden, brief burst of light",a momentary brightness.,3.75,STS2012-gold,surprise.OnWN
205,"come or bring back to life, health, existence or use",cause to regain consciousness.,2.25,STS2012-gold,surprise.OnWN
206,A mental state of sadness.,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity.,3.25,STS2012-gold,surprise.OnWN
207,position or location change,the act of changing the location of something.,3.75,STS2012-gold,surprise.OnWN
208,"(cause to) move through a space, circuit or system, usu. returning to the starting point",move in circles.,3.75,STS2012-gold,surprise.OnWN
209,bring in to consonance,bring (several things) into consonance or relate harmoniously.,3.75,STS2012-gold,surprise.OnWN
210,"submit, send to",cause to move; cause to be in a certain position or condition.,1.5,STS2012-gold,surprise.OnWN
211,state of being unified,the state of being joined or united or linked.,3.75,STS2012-gold,surprise.OnWN
212,"(Cause to) become different or aquire a different character, possibly during development.",become distinct and acquire a different character.,3.0,STS2012-gold,surprise.OnWN
213,an objective or goal,the goal intended to be attained (and which is believed to be attainable).,3.5,STS2012-gold,surprise.OnWN
214,seize and take captive; take or gain possession of something,"take possession of by force, as after an invasion.",3.5,STS2012-gold,surprise.OnWN
215,"give, dedicate, pledge","give entirely to a specific person, activity, or cause.",3.25,STS2012-gold,surprise.OnWN
216,decide a specific time for an event,make a schedule; plan the time and place for events.,4.0,STS2012-gold,surprise.OnWN
217,value a thing or course of action more highly than another,like better; value more highly.,4.75,STS2012-gold,surprise.OnWN
218,give something for a cause,give to a charity or good cause.,3.75,STS2012-gold,surprise.OnWN
219,furnish with a guideline,furnish with rubrics or regulate by rubrics.,3.75,STS2012-gold,surprise.OnWN
220,"a social entreaty, as courtship or pleading",a petition or appeal made to a person of superior status or rank.,2.5,STS2012-gold,surprise.OnWN
221,fail in strength or health and cease to funtion,"break down, literally or metaphorically.",2.25,STS2012-gold,surprise.OnWN
222,"reply verbally or in written form to a question, comment, letter, or speech",react verbally.,3.667,STS2012-gold,surprise.OnWN
223,a slight cut in a physical surface,a slight surface cut (especially a notch that is made to keep a tally).,3.75,STS2012-gold,surprise.OnWN
224,cause something to be the case,cause to move; cause to be in a certain position or condition.,3.25,STS2012-gold,surprise.OnWN
225,a state of confinement in a small space,the act of forcing yourself (or being forced) into or through a restricted space.,4.0,STS2012-gold,surprise.OnWN
226,state or explain the meaning,give a definition for the meaning of a word.,4.0,STS2012-gold,surprise.OnWN
227,cause animals to move,pursue for food or sport (as of wild animals).,1.25,STS2012-gold,surprise.OnWN
228,"be against, resist",act against or in opposition to.,4.5,STS2012-gold,surprise.OnWN
229,a quantity of money added to a bank account,money deposited in a bank or some similar institution.,4.25,STS2012-gold,surprise.OnWN
230,cause to come into existence; create,bring into being.,3.25,STS2012-gold,surprise.OnWN
231,"Performance, routine",a short theatrical performance that is part of a longer program.,2.5,STS2012-gold,surprise.OnWN
232,people assembled together in a rhythmic movement,a party of people assembled for dancing.,4.25,STS2012-gold,surprise.OnWN
233,a computer server,(computer science) a computer that provides client stations with access to files and printers as shared resources to a computer network.,3.0,STS2012-gold,surprise.OnWN
234,"forbid, prohibit",forbid the public distribution of ( a movie or a newspaper).,2.25,STS2012-gold,surprise.OnWN
235,computer text files,(computer science) a computer file that contains text (and possibly formatting instructions) using seven-bit ASCII characters.,3.0,STS2012-gold,surprise.OnWN
236,a speech act of acknowledging gratitude for something,an acknowledgment of appreciation.,2.25,STS2012-gold,surprise.OnWN
237,"a state of pretending to be someone, something else",an outward semblance that misrepresents the true nature of something.,3.333,STS2012-gold,surprise.OnWN
238,Become widespread as an idea or feeling.,cause to become widely known.,2.75,STS2012-gold,surprise.OnWN
239,connect with; reach a target or goal,"perceive with the senses quickly, suddenly, or momentarily.",0.0,STS2012-gold,surprise.OnWN
240,income collected as tax by a government,government income due to taxation.,4.75,STS2012-gold,surprise.OnWN
241,be the deciding factor in a state of affairs or an outcome,shape or influence; give direction to.,2.0,STS2012-gold,surprise.OnWN
242,end,put an end to.,3.0,STS2012-gold,surprise.OnWN
243,a region allocated to hold something,the particular portion of space occupied by something.,4.5,STS2012-gold,surprise.OnWN
244,acknowledge a contribution or cause,have trust in; trust in the truth or veracity of.,0.75,STS2012-gold,surprise.OnWN
245,arrangement,logical or comprehensible arrangement of separate elements.,2.0,STS2012-gold,surprise.OnWN
246,system of arrangement,an arrangement scheme.,3.75,STS2012-gold,surprise.OnWN
247,close within bounds; deprive of freedom,"to close within bounds, limit or hold back from movement.",3.75,STS2012-gold,surprise.OnWN
248,"to collect, acquire or gather",get or gather together.,4.75,STS2012-gold,surprise.OnWN
249,deliver a formal talk or reprimand at length,censure severely or angrily.,0.5,STS2012-gold,surprise.OnWN
250,"a pair of mated people, e.g., married",a pair of people who live together.,5.0,STS2012-gold,surprise.OnWN
251,rot; become unfit for consumption,become unfit for consumption or use.,4.75,STS2012-gold,surprise.OnWN
252,lock with one another,become engaged or intermeshed with one another.,3.25,STS2012-gold,surprise.OnWN
253,"take vows, join or allow to join a religious order","take vows, as in religious order.",4.5,STS2012-gold,surprise.OnWN
254,activity of selling,the general activity of selling.,4.75,STS2012-gold,surprise.OnWN
255,"give out, allow to have",allow to have.,4.5,STS2012-gold,surprise.OnWN
256,"secondary public school, grades 9-12",a public secondary school usually including grades 9 through 12.,4.75,STS2012-gold,surprise.OnWN
257,"Benjamin Rush, physician and American Revolutionary leader.",physician and American Revolutionary leader; signer of the Declaration of Independence (1745-1813).,3.0,STS2012-gold,surprise.OnWN
258,luggage compartment of a car,British term for the luggage compartment in a car.,2.5,STS2012-gold,surprise.OnWN
259,have a monopoly of; control fully,have or exploit a monopoly of.,4.5,STS2012-gold,surprise.OnWN
260,reduce to a simpler molecular compound,reduce (petroleum) to a simpler compound by cracking.,3.75,STS2012-gold,surprise.OnWN
